5 H+[m] + NADH[m] + ubiquinone-6[m] => 4 H+[c] + NAD[m] + ubiquinol-6[m]	NADH dehydrogenase (complex I)	RHTO_00906 and RHTO_00668 and RHTO_07027	Oxidative phosphorylation	1.6.5.3
H+[erm] + oxygen[erm] + NADH[erm] + oleoyl-CoA[erm] => 2 H2O[erm] + NAD[erm] + linoleoyl-CoA[erm]	oleoyl-CoA desaturase (n-C18:1CoA - n-C18:2CoA), ER membrane	RHTO_03911		
ATP[c] + H2O[c] + linoleoyl-CoA[c] => ADP[c] + H+[c] + phosphate[c] + linoleoyl-CoA[p]	fatty acyl-CoA transport via ABC system (C18:2)	RHTO_06195 and RHTO_04105		
H+[erm] + oxygen[erm] + NADH[erm] + linoleoyl-CoA[erm] => 2 H2O[erm] + NAD[erm] + linolenoyl-CoA[erm]	linoleoyl-CoA desaturase (n-C18:2CoA - n-C18:3CoA), ER membrane	***		
coenzyme A[erm] + ATP[erm] + linolenate[erm] <=> AMP[erm] + diphosphate[erm] + linolenoyl-CoA[erm]	fatty-acid--CoA ligase (octadecatrienoate), ER membrane	***		
coenzyme A[lp] + ATP[lp] + linolenate[lp] <=> diphosphate[lp] + AMP[lp] + linolenoyl-CoA[lp]	fatty-acid--CoA ligase (octadecatrienoate), lipid particle	***		
ATP[p] + coenzyme A[p] + linolenate[p] <=> AMP[p] + diphosphate[p] + linolenoyl-CoA[p]	fatty-acid--CoA ligase (octadecatrienoate), peroxisome	***		
H2O[p] + linolenoyl-CoA[p] => coenzyme A[p] + H+[p] + linolenate[p]	peroxisomal acyl-CoA thioesterase (18:3)	***		
ATP[c] + H2O[c] + linolenoyl-CoA[c] => ADP[c] + H+[c] + phosphate[c] + linolenoyl-CoA[p]	fatty acyl-CoA transport via ABC system (C18:3)	***		
linolenoyl-CoA[c] <=> linolenoyl-CoA[erm]	linolenoyl-CoA transport, cytoplasm-endoplasmic reticulum membrane	***	Transport between c and erm	
linolenoyl-CoA[c] <=> linolenoyl-CoA[lp]	linolenoyl-CoA transport, cytoplasm-lipid particle	***	Transport between c and lp	
linolenoyl-CoA[c] <=> linolenoyl-CoA[mm]	linolenoyl-CoA transport, cytoplasm-mitochondrial membrane	***	Transport between c and mm	
linoleoyl-CoA[c] <=> linoleoyl-CoA[erm]	linoleoyl-CoA transport, cytoplasm-endoplasmic reticulum membrane	***	Transport between c and erm	
linoleoyl-CoA[c] <=> linoleoyl-CoA[lp]	linoleoyl-CoA transport, cytoplasm-lipid particle	***	Transport between c and lp	
linoleoyl-CoA[c] <=> linoleoyl-CoA[mm]	linoleoyl-CoA transport, cytoplasm-mitochondrial membrane	***	Transport between c and mm	
linolenate[c] <=> linolenate[erm]	linolenate transport, cytoplasm-endoplasmic reticulum membrane	***	Transport between c and erm	
linolenate[c] <=> linolenate[lp]	linolenate transport, cytoplasm-lipid particle	***	Transport between c and lp	
linolenate[c] <=> linolenate[mm]	linolenate transport, cytoplasm-mitochondrial membrane	***	Transport between c and mm	
linoleate[c] <=> linoleate[erm]	linoleate transport, cytoplasm-endoplasmic reticulum membrane	***	Transport between c and erm	
linoleate[c] <=> linoleate[lp]	linoleate transport, cytoplasm-lipid particle	***	Transport between c and lp	
linoleate[c] <=> linoleate[mm]	linoleate transport,cytoplasm-mitochondrial membrane	***	Transport between c and mm	
